,TBL_ID,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,PERIOD,Sector
886,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1370562.67,2019-06-30,Trade
887,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,531782.304,2019-06-30,Transportation
888,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,286347.31,2019-06-30,Information
889,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3883192.284,2019-06-30,Service
890,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,1710403.468,2019-06-30,Taxes
946,DT_NSO_0500_022V1,1,ДНБ,GDP,5252559.374,2019-03-31,GDP
947,DT_NSO_0500_022V1,101,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","Agriculture, forestry, fishing and hunting",203926.602,2019-03-31,Agriculture
948,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,955834.001,2019-03-31,Mining
949,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,317701.28,2019-03-31,Industry
950,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",197308.743,2019-03-31,Electricity
951,DT_NSO_0500_022V1,105,Барилга,Construction,62439.549,2019-03-31,Construction
952,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,581267.412,2019-03-31,Trade
953,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,267255.606,2019-03-31,Transportation
954,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,129255.794,2019-03-31,Information
955,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1893362.59,2019-03-31,Service
956,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,644207.798,2019-03-31,Taxes
1012,DT_NSO_0500_022V1,1,ДНБ,GDP,26446671.274,2018-12-31,GDP
1013,DT_NSO_0500_022V1,101,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","Agriculture, forestry, fishing and hunting",3608039.111,2018-12-31,Agriculture
1014,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,4134825.454,2018-12-31,Mining
1015,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2073929.212,2018-12-31,Industry
1016,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",622177.35,2018-12-31,Electricity
1017,DT_NSO_0500_022V1,105,Барилга,Construction,918584.703,2018-12-31,Construction
1018,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2880993.115,2018-12-31,Trade
1019,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1481887.66,2018-12-31,Transportation
1020,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,515896.073,2018-12-31,Information
1021,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7337898.166,2018-12-31,Service
1022,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2872440.43,2018-12-31,Taxes
1078,DT_NSO_0500_022V1,1,ДНБ,GDP,18903900.97,2018-09-30,GDP
1079,DT_NSO_0500_022V1,101,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","Agriculture, forestry, fishing and hunting",2866382.05,2018-09-30,Agriculture
1080,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2803265.576,2018-09-30,Mining
1081,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1303992.867,2018-09-30,Industry
1082,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",430893.647,2018-09-30,Electricity
